GroupId|ArtifactId|Version
uk.co.loyalty|iss-aip-identity-integration-tests|0-SNAPSHOT
uk.co.loyalty|iss-aip-identity-app|0-SNAPSHOT
uk.co.loyalty|iss-aip-common-app|0-SNAPSHOT
uk.co.loyalty|iss-aip-common-domain-impl|0-SNAPSHOT
org.springframework|spring-orm|5.0.4.RELEASE
org.apache.commons|commons-dbcp2|2.1.1
org.apache.poi|poi|3.17
org.apache.poi|poi-ooxml|3.17
org.apache.poi|poi-ooxml-schemas|3.17
org.apache.xmlbeans|xmlbeans|2.6.0
com.github.virtuald|curvesapi|1.04
org.springframework.boot|spring-boot-starter-web|1.5.9.RELEASE
org.springframework.boot|spring-boot-starter-aop|1.5.9.RELEASE
org.springframework.boot|spring-boot-starter-cache|1.5.9.RELEASE
org.springframework.boot|spring-boot-starter-tomcat|1.5.9.RELEASE
org.apache.tomcat.embed|tomcat-embed-el|8.5.28
org.apache.tomcat.embed|tomcat-embed-websocket|8.5.28
org.springframework.boot|spring-boot-starter-actuator|1.5.9.RELEASE
org.springframework.boot|spring-boot-actuator|1.5.9.RELEASE
org.springframework.cloud|spring-cloud-starter-netflix-eureka-client|1.4.3.RELEASE
org.springframework.cloud|spring-cloud-starter|1.3.2.RELEASE
org.springframework.cloud|spring-cloud-context|1.3.2.RELEASE
org.springframework.security|spring-security-crypto|5.0.0.RELEASE
org.springframework.cloud|spring-cloud-commons|1.3.2.RELEASE
org.springframework.security|spring-security-rsa|1.0.3.RELEASE
org.springframework.cloud|spring-cloud-netflix-core|1.4.3.RELEASE
org.springframework.cloud|spring-cloud-netflix-eureka-client|1.4.3.RELEASE
com.netflix.eureka|eureka-client|1.7.0
org.codehaus.jettison|jettison|1.3.7
stax|stax-api|1.0.1
com.netflix.netflix-commons|netflix-eventbus|0.3.0
com.netflix.netflix-commons|netflix-infix|0.3.0
commons-jxpath|commons-jxpath|1.3
org.antlr|antlr-runtime|3.4
org.antlr|stringtemplate|3.2
org.apache.commons|commons-math|2.2
com.netflix.archaius|archaius-core|0.7.4
javax.ws.rs|jsr311-api|1.1.1
com.netflix.servo|servo-core|0.10.1
com.netflix.servo|servo-internal|0.10.1
com.sun.jersey|jersey-core|1.19.1
com.sun.jersey|jersey-client|1.19.1
com.sun.jersey.contribs|jersey-apache-client4|1.19.1
com.google.inject|guice|4.1.0
javax.inject|javax.inject|1
aopalliance|aopalliance|1
com.netflix.eureka|eureka-core|1.7.0
org.codehaus.woodstox|woodstox-core-asl|4.4.1
javax.xml.stream|stax-api|1.0-2
org.codehaus.woodstox|stax2-api|3.1.4
org.springframework.cloud|spring-cloud-starter-netflix-archaius|1.4.3.RELEASE
commons-configuration|commons-configuration|1.8
org.springframework.cloud|spring-cloud-starter-netflix-ribbon|1.4.3.RELEASE
com.netflix.ribbon|ribbon|2.2.4
com.netflix.ribbon|ribbon-transport|2.2.4
io.reactivex|rxnetty-contexts|0.4.9
io.reactivex|rxnetty-servo|0.4.9
com.netflix.hystrix|hystrix-core|1.5.12
org.hdrhistogram|HdrHistogram|2.1.9
io.reactivex|rxnetty|0.4.9
io.netty|netty-codec-http|4.0.27.Final
io.netty|netty-codec|4.0.27.Final
io.netty|netty-handler|4.0.27.Final
io.netty|netty-transport-native-epoll|4.0.27.Final
io.netty|netty-common|4.0.27.Final
io.netty|netty-buffer|4.0.27.Final
io.netty|netty-transport|4.0.27.Final
com.netflix.ribbon|ribbon-core|2.2.4
com.netflix.ribbon|ribbon-httpclient|2.2.4
com.netflix.netflix-commons|netflix-commons-util|0.1.1
